PhoenixVersion,3.7.2
RefTiming_RisingEdgeToTOF_ref0_WPSG_4,729.61
RefTiming_RisingEdgeToTOF_ref1_WPSG_1,724.009
RefTiming_RisingEdgeToTOF_ref1_WPSG_2,714.949
RefTiming_RisingEdgeToTOF_ref1_WPSG_3,723.731
RefTiming_RisingEdgeToTOF_ref1_WPSG_4,729.067
RefTiming_RisingEdgeErr_ref0_WPSG_1,0.0344678
RefTiming_RisingEdgeErr_ref0_WPSG_2,0.036691
RefTiming_RisingEdgeErr_ref0_WPSG_3,0.0316465
RefTiming_RisingEdgeErr_ref0_WPSG_4,0.0300748
RefTiming_RisingEdgeErr_ref1_WPSG_1,0.034699
RefTiming_RisingEdgeErr_ref1_WPSG_2,0.0389313
RefTiming_RisingEdgeErr_ref1_WPSG_3,0.0379504
RefTiming_RisingEdgeErr_ref1_WPSG_4,0.0393259
RefTiming_FallingEdgeErr_ref0_WPSG_1,0.0359222
RefTiming_FallingEdgeErr_ref0_WPSG_2,0.0387214
RefTiming_FallingEdgeErr_ref0_WPSG_3,0.0274778
RefTiming_FallingEdgeErr_ref0_WPSG_4,0.036695
RefTiming_FallingEdgeErr_ref1_WPSG_1,0.0397508
RefTiming_FallingEdgeErr_ref1_WPSG_2,0.0447641
RefTiming_FallingEdgeErr_ref1_WPSG_3,0.0357447
RefTiming_FallingEdgeErr_ref1_WPSG_4,0.0439005
RisingEdge_toRefStrDly_WPSG_avgDrift,-621.92
ReferencePixelsParamsExtractor_error_id,
ReferencePixelsParamsExtractor_error_msg,
PS_wide_tail_param_amp1_per_bank_1,0.281408
PS_wide_tail_param_amp1_per_bank_2,0.175106
PS_wide_tail_param_amp1_per_bank_3,0.190169
PS_wide_tail_param_amp1_per_bank_4,0.216168
PS_wide_tail_param_decay1_per_bank_1,-0.547682
PS_wide_tail_param_decay1_per_bank_2,-0.500035
PS_wide_tail_param_decay1_per_bank_3,-0.496332
PS_wide_tail_param_decay1_per_bank_4,-0.522535
PS_wide_tail_param_amp2_per_bank_1,0.00034804
PS_wide_tail_param_amp2_per_bank_2,8.49863e-05
PS_wide_tail_param_amp2_per_bank_3,0.00018584
PS_wide_tail_param_amp2_per_bank_4,7.19843e-05
PS_wide_tail_param_decay2_per_bank_1,-0.0684154
PS_wide_tail_param_decay2_per_bank_2,-0.0484726
PS_wide_tail_param_decay2_per_bank_3,-0.0580117
PS_wide_tail_param_decay2_per_bank_4,-0.0462436
PS_wide_tail_param_RMSE_log_per_bank_1,369600
PS_wide_tail_param_RMSE_log_per_bank_2,750335
PS_wide_tail_param_RMSE_log_per_bank_3,475987
PS_wide_tail_param_RMSE_log_per_bank_4,813799
PS_wide_tail_param_RMSE_per_bank_1,0.133861
PS_wide_tail_param_RMSE_per_bank_2,0.14724
PS_wide_tail_param_RMSE_per_bank_3,0.157371
PS_wide_tail_param_RMSE_per_bank_4,0.150287
PS_wide_interference_level_per_bank_1,5.80619e-08
PS_wide_interference_level_per_bank_2,0
PS_wide_interference_level_per_bank_3,0
PS_wide_interference_level_per_bank_4,0
PS_wide_original_interference_level_per_bank_1,3.29224e-06
PS_wide_original_interference_level_per_bank_2,3.58524e-06
PS_wide_original_interference_level_per_bank_3,3.36134e-06
PS_wide_original_interference_level_per_bank_4,3.30896e-06
PS_wide_percentage_of_outlying_interference_pulses_per_bank_1,0.000771605
PS_wide_percentage_of_outlying_interference_pulses_per_bank_2,0.016821
PS_wide_percentage_of_outlying_interference_pulses_per_bank_3,0.016821
PS_wide_percentage_of_outlying_interference_pulses_per_bank_4,0.0108025
PS_wide_num_of_zeros_per_bank_1,1
PS_wide_num_of_zeros_per_bank_2,2
PS_wide_num_of_zeros_per_bank_3,2
PS_wide_num_of_zeros_per_bank_4,2
PS_narrow_tail_param_amp1_per_bank_1,0.171143
PS_narrow_tail_param_amp1_per_bank_2,0.0971933
PS_narrow_tail_param_amp1_per_bank_3,0.11312
PS_narrow_tail_param_amp1_per_bank_4,0.12076
PS_narrow_tail_param_decay1_per_bank_1,-0.547682
PS_narrow_tail_param_decay1_per_bank_2,-0.500035
PS_narrow_tail_param_decay1_per_bank_3,-0.496332
PS_narrow_tail_param_decay1_per_bank_4,-0.522535
PS_narrow_tail_param_amp2_per_bank_1,0.000243484
PS_narrow_tail_param_amp2_per_bank_2,5.95602e-05
PS_narrow_tail_param_amp2_per_bank_3,0.000101659
PS_narrow_tail_param_amp2_per_bank_4,5.17114e-05
PS_narrow_tail_param_decay2_per_bank_1,-0.0684154
PS_narrow_tail_param_decay2_per_bank_2,-0.0484726
